sample_id,fold,fusion_model,spearman,jaccard_top5pct,jaccard_top50,entropy_image_only,entropy_fusion,n_tiles
936,1,intermediate_fusion,0.752330338750286,0.7333333333333333,0.639344262295082,5.270419,5.254309,256
937,1,intermediate_fusion,0.7058573186083771,0.8571428571428571,0.7543859649122807,5.1949415,5.041733,256
674,1,coattention_fusion,0.463967011902037,0.4444444444444444,0.2345679012345679,5.4600444,5.4871655,256
680,1,coattention_fusion,0.3090059224078736,0.4444444444444444,0.42857142857142855,5.4772315,5.5164614,256
60,1,coattention_fusion,0.7789539940489814,0.4444444444444444,0.6666666666666666,5.3331356,5.5203185,256
67,1,coattention_fusion,0.5368691348134583,0.7333333333333333,0.4492753623188406,5.2581906,5.4229164,256
675,1,coattention_fusion,0.7995415140764477,0.5294117647058824,0.6949152542372882,5.3124237,5.482748,256
76,1,coattention_fusion,0.7045648317692834,0.7333333333333333,0.4925373134328358,5.2243247,5.5289216,256
676,1,coattention_fusion,0.7674625200274661,0.4444444444444444,0.4925373134328358,5.2447224,5.512857,256
681,1,coattention_fusion,0.533432993820096,0.7333333333333333,0.6129032258064516,5.208124,5.4529104,256
682,1,coattention_fusion,0.8821455138475621,0.7333333333333333,0.6666666666666666,5.053031,5.46644,256
4,1,coattention_fusion,-0.45825346189059274,0.0,0.0,5.3216505,5.539596,256
13,1,coattention_fusion,0.7990343900205995,0.625,0.5384615384615384,5.148196,5.5414896,256
677,1,coattention_fusion,0.12286707484550238,0.04,0.12359550561797752,5.385125,5.5418854,256
24,1,coattention_fusion,-0.2823386358434424,0.0,0.010101010101010102,5.5039544,5.5446954,256
19,1,coattention_fusion,0.6463521400778208,0.13043478260869565,0.4492753623188406,5.22381,5.5447474,256
678,1,coattention_fusion,0.4963986324101624,0.4444444444444444,0.7543859649122807,5.2110457,5.390049,256
683,1,coattention_fusion,0.2212798981460288,0.7333333333333333,0.5151515151515151,5.1628084,5.133127,256
29,1,coattention_fusion,0.808669747081712,0.3,0.5384615384615384,5.307335,5.4747524,256
684,1,coattention_fusion,0.1866602769512474,0.625,0.42857142857142855,5.4504976,5.5297155,256
679,1,coattention_fusion,0.6684152552071411,0.4444444444444444,0.6666666666666666,5.323406,4.987072,256
35,1,coattention_fusion,0.675208857862211,0.04,0.4084507042253521,5.485713,5.5388384,256
52,1,coattention_fusion,0.6069559681849392,0.3684210526315789,0.4925373134328358,5.3675485,5.5306377,256
40,1,coattention_fusion,0.8443536850537878,0.3684210526315789,0.7857142857142857,4.9000616,5.195474,256
45,1,coattention_fusion,0.5193558308537423,0.3,0.4492753623188406,5.349208,5.2621956,256
121,1,coattention_fusion,0.3189638647287708,0.625,0.42857142857142855,5.3472223,5.535267,256
122,1,coattention_fusion,0.7876473449301897,0.5294117647058824,0.639344262295082,5.226408,5.3596897,256
99,1,coattention_fusion,0.6495558194094757,0.23809523809523808,0.4492753623188406,5.416519,5.447608,256
100,1,coattention_fusion,0.6519283588921949,0.7333333333333333,0.4492753623188406,5.407495,5.3486347,256
123,1,coattention_fusion,0.6470252059967955,0.5294117647058824,0.3888888888888889,5.2896223,5.0644417,256
124,1,coattention_fusion,0.5596060311284046,0.4444444444444444,0.47058823529411764,5.4326744,5.4920664,256
125,1,coattention_fusion,0.8378175783932248,0.5294117647058824,0.7543859649122807,5.2930903,5.4755244,256
101,1,coattention_fusion,-0.8483741989013502,0.0,0.0,5.1597652,5.4547677,256
126,1,coattention_fusion,-0.47263103685053776,0.0,0.02040816326530612,5.427864,5.536588,256
107,1,coattention_fusion,0.8604715037766079,0.625,0.7241379310344828,5.211282,5.227781,256
138,1,coattention_fusion,-0.8862182421606775,0.0,0.0,5.145666,5.5309277,256
108,1,coattention_fusion,0.670124027237354,0.3684210526315789,0.5384615384615384,5.412018,5.423826,256
109,1,coattention_fusion,0.5817013332570381,0.18181818181818182,0.28205128205128205,5.4404964,5.4990516,256
139,1,coattention_fusion,0.7944323643854428,0.4444444444444444,0.639344262295082,5.181787,5.4371114,256
110,1,coattention_fusion,0.39270284962233915,0.5294117647058824,0.35135135135135137,5.4475102,5.525852,256
140,1,coattention_fusion,-0.05848806935225452,0.5294117647058824,0.14942528735632185,5.5028133,5.482191,256
111,1,coattention_fusion,0.863431992446784,0.625,0.6666666666666666,5.1471663,5.5445976,256
